ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000138085	ATRAID	2	27434895	27440046	1	protein_coding	51374	ATRAID	0.00791394898030435	NA	0	0	17	9.6355e-269	0	EyeGEx:eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/CEDAR_rectum:eQTLcatalogue/CEDAR_transverse_colon:eQTLcatalogue/Fairfax_2014_IFN24:eQTLcatalogue/Fairfax_2014_LPS24:eQTLcatalogue/Fairfax_2014_LPS2:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/GENCORD_ge_fibroblast:eQTLcatalogue/GENCORD_ge_LCL:eQTLcatalogue/GEUVADIS_ge_LCL:eQTLcatalogue/HipSci_ge_iPSC:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Nedelec_2016_ge_macrophage_naive:eQTLcatalogue/Quach_2016_ge_monocyte_LPS:eQTLcatalogue/Quach_2016_ge_monocyte_naive:eQTLcatalogue/Quach_2016_ge_monocyte_Pam3CSK4:eQTLcatalogue/TwinsUK_ge_fat:eQTLcatalogue/TwinsUK_ge_LCL:eQTLcatalogue/TwinsUK_ge_skin:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Liver:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Ovary:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Prostate:GTEx/v8/Minor_Salivary_Gland:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid:GTEx/v8/Uterus:GTEx/v8/Vagina	+	Yes	Adult_Cortex:IMR90	2.5e-36	rs13404446;rs1275504;rs780110;rs780093;rs13023194;rs4665987;rs780110:rs13404446	2
ENSG00000084774	CAD	2	27440258	27466811	1	protein_coding	790	CAD	0.999999701880854	-0.710759294	0	0	14	3.5149e-41	0	EyeGEx:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Quach_2016_ge_monocyte_IAV:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Testis:GTEx/v8/Thyroid	-	Yes	Adult_Cortex:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:hESC	1.4e-15	rs13404446;rs1275504;rs780110;rs965813;rs780110:rs13404446	2
ENSG00000115194	SLC30A3	2	27476552	27498685	-1	protein_coding	7781	SLC30A3	0.64608387237045	-0.660463482	0	0	2	0.000226232	0.0222499769602262	PsychENCODE_eQTLs:GTEx/v8/Thyroid	-	Yes	Promoter_anchored_loops:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	1.4e-13	rs13404446;rs13404446:rs780110:rs13404446;rs1275504	2
ENSG00000163793	DNAJC5G	2	27498289	27504367	1	protein_coding	285126	DNAJC5G	0.00397478941010456	-0.706717729	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	1.4e-13	rs13404446:rs780110:rs13404446;rs1275504	2
ENSG00000138100	TRIM54	2	27505260	27530307	1	protein_coding	57159	TRIM54	8.24707898322991e-07	-1.053267254	0	0	11	5.97816e-09	1.1557e-07	GTEx/v8/Nerve_Tibial:GTEx/v8/Testis	-	Yes	GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm	1.4e-15	rs13404446;rs1275504;rs780110;rs780110:rs13404446:rs13404446	2
ENSG00000163794	UCN	2	27530268	27531313	-1	protein_coding	7349	UCN	0.517240162953561	-0.107138113	0	0	3	5.2685e-06	0.00683988	eQTLGen_cis_eQTLs:GTEx/v8/Muscle_Skeletal:GTEx/v8/Thyroid	-	No	NA	2e-05	rs13404446;rs1275504	2
ENSG00000115204	MPV17	2	27532360	27548547	-1	protein_coding	4358	MPV17	1.10286841801097e-08	-0.205368529	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex	3.7e-23	rs13404446:rs780110:rs4665987:rs965813	2
ENSG00000115207	GTF3C2	2	27548716	27579868	-1	protein_coding	2976	GTF3C2	0.999786435918561	-0.837016421	0	0	16	4.5145e-06	0.000923819713985594	eQTLcatalogue/TwinsUK_ge_fat:PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:CMC_NoSVA_cis	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110;rs13404446;rs1275504;rs780093;rs4665987;rs13023194;rs780110:rs4665987:rs965813:rs4665987	2
ENSG00000115211	EIF2B4	2	27587219	27593353	-1	protein_coding	8890	EIF2B4	0.832609528731968	-0.214235303	1	18.47	13	1.5323e-24	0	eQTLcatalogue/GEUVADIS_ge_LCL:eQTLGen_cis_eQTLs	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110;rs13404446;rs1275504;rs780093;rs4665987;rs13023194;rs780110:rs4665987:rs965813:rs4665987	2
ENSG00000115234	SNX17	2	27593389	27599995	1	protein_coding	9784	SNX17	0.686180301198043	-0.681943317	2	18.47	36	0	0	eQTLcatalogue/CEDAR_T-cell_CD8:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Fairfax_2014_IFN24:eQTLcatalogue/Fairfax_2014_LPS24:eQTLcatalogue/Fairfax_2014_LPS2:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:xQTLServer_eQTLs:CMC_SVA_cis:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Sun_Exposed_Lower_leg	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110;rs780093;rs13404446;rs1275504;rs965813;rs4665987;rs13023194;rs1870325;rs13013484;rs6737313;rs13000936;rs780110:rs4665987:rs965813:rs4665987	2
ENSG00000163795	ZNF513	2	27600098	27603657	-1	protein_coding	130557	ZNF513	0.940738428263313	NA	2	18.47	13	5.2422e-22	0	eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:xQTLServer_eQTLs:GTEx/v8/Artery_Aorta	-	Yes	Promoter_anchored_loops:GM12878:IMR90:Mesenchymal_Stem_Cell	2.5e-36	rs780110;rs13404446;rs1275504;rs780093;rs965813;rs780110:rs4665987:rs965813:rs4665987;rs13023194	2
ENSG00000115241	PPM1G	2	27604061	27632554	-1	protein_coding	5496	PPM1G	0.996010385533881	-0.482626092	1	12.85	28	4.7697e-67	0	EyeGEx:eQTLcatalogue/Fairfax_2014_IFN24:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/TwinsUK_ge_fat:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid	-	Yes	Promoter_anchored_loops:GM12878:IMR90:Mesenchymal_Stem_Cell	2.5e-36	rs780110;rs780093;rs965813;rs13404446;rs1275504;rs4665987;rs13023194;rs1870325;rs13013484;rs780110:rs4665987:rs965813:rs4665987	2
ENSG00000115216	NRBP1	2	27650657	27665126	1	protein_coding	29959	NRBP1	0.999548511025196	-1.389706011	2	14.1	35	5.4046e-180	0	eQTLcatalogue/Alasoo_2018_ge_macrophage_IFNg:eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/Fairfax_2014_LPS2:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/GENCORD_ge_fibroblast:eQTLcatalogue/GENCORD_ge_LCL:eQTLcatalogue/GENCORD_ge_T-cell:eQTLcatalogue/GEUVADIS_ge_LCL:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Quach_2016_ge_monocyte_IAV:eQTLcatalogue/Quach_2016_ge_monocyte_R848:eQTLcatalogue/TwinsUK_ge_blood:eQTLcatalogue/TwinsUK_ge_fat:eQTLcatalogue/TwinsUK_ge_LCL:eQTLcatalogue/TwinsUK_ge_skin:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Cells_EBV-transformed_lymphocytes:GTEx/v8/Whole_Blood:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Lung:GTEx/v8/Nerve_Tibial:GTEx/v8/Prostate:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Testis:GTEx/v8/Thyroid	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110;rs780093;rs4665987;rs13404446;rs1275504;rs13023194;rs965813;rs1870325;rs13013484;rs6737313;rs780110:rs780093:rs965813:rs4665987:rs4665987	2
ENSG00000157992	KRTCAP3	2	27665233	27669348	1	protein_coding	200634	KRTCAP3	0.0445235342133754	NA	0	0	26	1.8038e-237	0	eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/Lepik_2017_ge_blood:PsychENCODE_eQTLs:DICE/T_CD4_naive:DICE/T_CD4_naive_activated:DICE/T_CD8_naive:DICE/T_CD8_naive_activated:DICE/T_CD4_TH17:DICE/T_CD4_TH1_17:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Spleen:GTEx/v8/Thyroid	+	Yes	Promoter_anchored_loops:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110;rs13404446;rs780093;rs965813;rs1275504;rs4665987;rs13023194;rs1870325;rs13013484;rs6737313;rs780110:rs965813:rs4665987:rs780093:rs4665987	2
ENSG00000138002	IFT172	2	27667238	27712656	-1	protein_coding	26160	IFT172	2.29011817971014e-18	-0.505254909	1	15.52	19	1.67442e-09	4.33669e-09	EyeGEx:eQTLcatalogue/HipSci_ge_iPSC:eQTLcatalogue/Quach_2016_ge_monocyte_IAV:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Brain_Cortex:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Spleen	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110;rs13404446;rs4665987;rs13023194;rs965813;rs1275504;rs780093;rs780110:rs4665987:rs965813:rs780093:rs4665987;rs13023194:rs13000936	2
ENSG00000115226	FNDC4	2	27714750	27718112	-1	protein_coding	64838	FNDC4	0.759219015798597	NA	1	15.52	33	3.27158e-12	2.50328e-25	GTEx/v8/Muscle_Skeletal:GTEx/v8/Spleen:GTEx/v8/Thyroid	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110;rs13404446;rs1275504;rs4665987;rs965813;rs13023194;rs1870325;rs780093;rs13013484;rs6737313;rs780110:rs4665987:rs965813:rs780093:rs4665987;rs13023194:rs13000936	2
ENSG00000084734	GCKR	2	27719709	27746554	1	protein_coding	2646	GCKR	3.58392509874806e-16	-0.155697744	2	15.52	17	1.83543e-08	2.34269e-20	GTEx/v8/Spleen:GTEx/v8/Thyroid	+	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110;rs780093;rs4665987;rs965813;rs13023194;rs1870325;rs13013484;rs780110:rs4665987:rs965813:rs780093:rs4665987;rs13023194:rs13000936	2
ENSG00000233438	AC109829.1	2	27760253	27790011	1	protein_coding	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs780110:rs780093:rs4665987:rs965813	2
ENSG00000221843	C2orf16	2	27799389	27805588	1	protein_coding	84226	C2orf16	3.91661992667067e-17	-0.329746802	2	14.88	16	6.16764e-06	2.05669e-06	PsychENCODE_eQTLs:CMC_SVA_cis:GTEx/v8/Spleen:GTEx/v8/Thyroid	+	Yes	IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs4665987;rs13013484;rs1870325;rs6737313;rs13023194;rs780110;rs780093;rs780110:rs780093:rs4665987:rs965813	2
ENSG00000243943	ZNF512	2	27805897	27858041	1	protein_coding	84450	ZNF512	0.949146986047491	-1.279253328	4	18.65	11	1.2014e-06	0.00363447559709242	eQTLGen_cis_eQTLs:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Thyroid	-	Yes	Promoter_anchored_loops:Adult_Cortex:Fetal_Cortex:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs4665987;rs965813;rs780093;rs13023194;rs13404446;rs1275504;rs780110:rs965813:rs780093	2
ENSG00000176714	CCDC121	2	27848506	27851879	-1	protein_coding	79635	CCDC121	9.72713578876563e-05	-0.266319334	2	18.65	0	NA	NA	NA	NA	Yes	Left_Ventricle:Liver:GM12878:IMR90:Mesenchymal_Stem_Cell:Mesendoderm:Trophoblast-like_Cell:hESC	2.5e-36	rs965813;rs780110:rs4665987:rs965813:rs780093:rs4665987;rs13023194	2
