GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,SYMBOL,P2,FDR P,FDR significant P,Bonferroni P,Bonferroni significant P,FDR P2,FDR significant P2,Bonferroni P2,Bonferroni significant P2
ENSG00000243943,2,27805897,27858041,75,5,151188,6.541,3.0564e-11,ZNF512,0.2844729933021378,3.48085755e-08,Yes,5.56937208e-07,Yes,0.9888759523017299,No,1.0,No
ENSG00000149485,11,61567099,61596790,27,2,151188,6.465,5.0657e-11,FADS1,0.4060160529948237,5.4298344352941184e-08,Yes,9.230718540000001e-07,Yes,0.9950844518366877,No,1.0,No
ENSG00000123444,11,47593749,47600567,3,2,151188,6.2765,1.7313999999999998e-10,KBTBD4,0.5406049228447914,1.752753933333333e-07,Yes,3.1549570799999996e-06,Yes,0.9964257331379759,No,1.0,No
ENSG00000157992,2,27665233,27669348,3,1,151188,6.2178,2.5214e-10,KRTCAP3,0.7514422752262007,2.4181553052631585e-07,Yes,4.594495080000001e-06,Yes,0.9964257331379759,No,1.0,No
ENSG00000025434,11,47269851,47290396,36,4,151188,6.2092,2.6632e-10,NR1H3,0.008411964650865024,2.4264415200000003e-07,Yes,4.85288304e-06,Yes,0.9346513406589175,No,1.0,No
ENSG00000138002,2,27667238,27712656,42,2,151188,6.1406,4.1093e-10,IFT172,0.18221600501775936,3.4138916999999997e-07,Yes,7.48796646e-06,Yes,0.9888759523017299,No,1.0,No
ENSG00000134575,11,47260853,47270457,24,4,151188,6.1402,4.1217e-10,ACP2,0.93449867283484,3.4138916999999997e-07,Yes,7.510561739999999e-06,Yes,0.9984576169127564,No,1.0,No
ENSG00000115241,2,27604061,27632554,28,2,151188,6.1314,4.3565e-10,PPM1G,0.5993271156553994,3.451484478260869e-07,Yes,7.9384143e-06,Yes,0.9964257331379759,No,1.0,No
ENSG00000221843,2,27799389,27805588,6,2,151188,6.1094,5e-10,C2orf16,0.8648356486631221,3.6444000000000005e-07,Yes,9.111000000000001e-06,Yes,0.9982388619747915,No,1.0,No
ENSG00000084734,2,27719709,27746554,30,4,151188,6.1094,5e-10,GCKR,0.1813071896349695,3.6444000000000005e-07,Yes,9.111000000000001e-06,Yes,0.9888759523017299,No,1.0,No
ENSG00000115211,2,27587219,27593353,3,1,151188,6.0994,5.3236e-10,EIF2B4,0.6102240898067064,3.7310245846153845e-07,Yes,9.70066392e-06,Yes,0.9964257331379759,No,1.0,No
ENSG00000163072,2,169643049,169722024,110,13,151188,6.0775,6.1049e-10,NOSTRIN,0.5096525068756355,4.120129177777778e-07,Yes,1.112434878e-05,Yes,0.9964257331379759,No,1.0,No
ENSG00000124920,11,61520114,61555990,45,8,151188,6.0307,8.1633e-10,MYRF,0.4227672487739465,5.312559021428571e-07,Yes,1.4875165260000001e-05,Yes,0.9962457217646524,No,1.0,No
ENSG00000107249,9,3824127,4348392,1161,127,151188,5.8709,2.1666e-09,GLIS3,0.7165868800602918,1.361371903448276e-06,Yes,3.9479785199999996e-05,Yes,0.9964257331379759,No,1.0,No
ENSG00000233438,2,27760253,27790011,46,4,151188,5.823,2.8903e-09,AC109829.1,0.23889585805692184,1.7555682199999999e-06,Yes,5.26670466e-05,Yes,0.9888759523017299,No,1.0,No
ENSG00000158019,2,28112808,28561768,625,30,151188,5.7659,4.0602e-09,BRE,0.6657975901681035,2.3866117548387094e-06,Yes,7.398496439999999e-05,Yes,0.9964257331379759,No,1.0,No
ENSG00000168496,11,61560109,61564716,3,2,151188,5.7197,5.337199999999999e-09,FEN1,0.6905887020907494,3.0392018249999994e-06,Yes,9.72544584e-05,Yes,0.9964257331379759,No,1.0,No
ENSG00000115204,2,27532360,27548547,12,3,151188,5.6868,6.4734e-09,MPV17,0.4027221315845566,3.5744937818181813e-06,Yes,0.00011795829479999999,Yes,0.9949723317761506,No,1.0,No
ENSG00000115234,2,27593389,27599995,5,1,151188,5.6523,7.9143e-09,SNX17,0.3993362065861901,4.162893994285714e-06,Yes,0.0001442143746,Yes,0.9947360706357685,No,1.0,No
ENSG00000136267,7,14184674,15014402,1742,118,151188,5.6506,7.995899999999999e-09,DGKB,0.1540622649054919,4.162893994285714e-06,Yes,0.00014570128979999998,Yes,0.9888759523017299,No,1.0,No
ENSG00000148737,10,114710009,114927437,196,25,151188,5.6324,8.887500000000001e-09,TCF7L2,0.39880418096155135,4.49855625e-06,Yes,0.000161948025,Yes,0.9947360706357685,No,1.0,No
ENSG00000149187,11,47487496,47587121,75,10,151188,5.6271,9.1648e-09,CELF1,0.9969638014462884,4.513540151351352e-06,Yes,0.00016700098560000002,Yes,0.9999211179663718,No,1.0,No
ENSG00000134574,11,47236493,47260767,51,6,151188,5.6139,9.8937e-09,DDB2,0.19859430269779188,4.744289510526316e-06,Yes,0.00018028300139999998,Yes,0.9888759523017299,No,1.0,No
ENSG00000125798,20,22561643,22566093,1,1,151188,5.5804,1.2e-08,FOXA2,0.4281450863879801,5.606769230769231e-06,Yes,0.000218664,Yes,0.9962457217646524,No,1.0,No
ENSG00000165917,11,47459308,47470730,30,4,151188,5.5491,1.436e-08,RAPSN,0.5945776064488216,6.541698e-06,Yes,0.00026166792,Yes,0.9964257331379759,No,1.0,No
ENSG00000115226,2,27714750,27718112,4,1,151188,5.4802,2.1239e-08,FNDC4,0.758224106901556,9.43944043902439e-06,Yes,0.000387017058,Yes,0.9964257331379759,No,1.0,No
ENSG00000243147,2,27994584,28210954,244,10,151188,5.4054,3.2327e-08,MRPL33,0.8050059662552331,1.4025299857142858e-05,Yes,0.000589062594,Yes,0.99657883217486,No,1.0,No
ENSG00000145996,6,20534688,21232635,1208,63,151188,5.3870000000000005,3.5815e-08,CDKAL1,0.2469152959869081,1.5177230930232558e-05,Yes,0.00065262093,Yes,0.9888759523017299,No,1.0,No
ENSG00000171174,2,28004231,28113965,139,6,151188,5.2719,6.7507e-08,RBKS,0.4231051425305271,2.7957103499999997e-05,Yes,0.001230112554,Yes,0.9962457217646524,No,1.0,No
ENSG00000213221,9,139253932,139258241,10,3,151188,5.0971,1.7248000000000002e-07,DNLZ,0.12266910758103522,6.984290133333334e-05,Yes,0.0031429305600000003,Yes,0.9888759523017299,No,1.0,No
ENSG00000106070,7,50657760,50861159,430,22,151188,4.989,3.0348e-07,GRB10,0.8085344729250675,0.00012021766434782608,Yes,0.00553001256,Yes,0.99657883217486,No,1.0,No
ENSG00000165916,11,47440320,47447993,14,3,151188,4.9157,4.423399999999999e-07,PSMC3,0.9496818794134492,0.00017149615914893615,Yes,0.008060319479999998,Yes,0.9986342999312973,No,1.0,No
ENSG00000181830,11,45825623,45834566,20,7,151188,4.8843,5.1887e-07,SLC35C1,0.6911190376819814,0.00019697602375000003,Yes,0.00945484914,Yes,0.9964257331379759,No,1.0,No
ENSG00000268656,2,27998851,28009186,5,1,151188,4.8677,5.645000000000001e-07,AC110084.1,0.17540766101811567,0.00020992487755102043,Yes,0.010286319,Yes,0.9888759523017299,No,1.0,No
ENSG00000091844,6,153325594,153452384,162,15,151188,4.7954,8.118300000000002e-07,RGS17,0.3623807868288734,0.00029586332520000006,Yes,0.014793166260000004,Yes,0.9941528048164733,No,1.0,No
ENSG00000163793,2,27498289,27504367,4,1,151188,4.7913,8.285600000000002e-07,DNAJC5G,0.980184229354622,0.00029603961411764715,Yes,0.015098020320000002,Yes,0.9998426484159846,No,1.0,No
ENSG00000106631,7,44178463,44180931,4,2,151188,4.7854,8.532799999999998e-07,MYL7,0.9986693596068024,0.00029900900307692303,Yes,0.015548468159999997,Yes,0.9999211179663718,No,1.0,No
ENSG00000213619,11,47586888,47606114,13,4,151188,4.7091,1.244e-06,NDUFS3,0.8452624820661793,0.00042770128301886795,Yes,0.022668168000000002,Yes,0.9982388619747915,No,1.0,No
ENSG00000084764,2,27193480,27250064,37,1,151188,4.7026,1.2846000000000002e-06,MAPRE3,0.6706891032072041,0.00043348113333333335,Yes,0.023407981200000004,Yes,0.9964257331379759,No,1.0,No
ENSG00000115216,2,27650657,27665126,11,1,151188,4.6931,1.3452e-06,NRBP1,0.5887982306158516,0.0004456769890909091,Yes,0.024512234400000003,Yes,0.9964257331379759,No,1.0,No
ENSG00000140107,14,100789674,100796715,4,2,151188,4.6892,1.3713e-06,SLC25A47,0.056673920771143416,0.00044621122499999993,Yes,0.024987828599999998,Yes,0.9888759523017299,No,1.0,No
ENSG00000173175,3,123001143,123168605,265,16,151188,4.6811,1.4266999999999996e-06,ADCY5,0.6799624794441349,0.0004560934631578946,Yes,0.025997327399999992,Yes,0.9964257331379759,No,1.0,No
ENSG00000164062,3,49711435,49721396,6,2,151188,4.6663,1.5337e-06,APEH,0.4379415359634309,0.0004818462310344828,Yes,0.0279470814,Yes,0.9964257331379759,No,1.0,No
ENSG00000173531,3,49721380,49726934,3,1,151188,4.6463,1.6896e-06,MST1,0.4928626134878381,0.0005218286644067797,Yes,0.0307878912,Yes,0.9964257331379759,No,1.0,No
ENSG00000140105,14,100800125,100843142,109,5,151188,4.605,2.0625e-06,WARS,0.1634199057049467,0.00062638125,Yes,0.037582875,Yes,0.9888759523017299,No,1.0,No
ENSG00000198522,2,27851114,27874375,39,5,151188,4.5812,2.3111e-06,GPN1,0.9347032828020948,0.0006903748229508198,Yes,0.0421128642,Yes,0.9984576169127564,No,1.0,No
ENSG00000233276,3,49394609,49396033,2,1,151188,4.5537,2.6355e-06,GPX1,0.20199781016633767,0.0007745819516129033,Yes,0.048024081,Yes,0.9888759523017299,No,1.0,No
ENSG00000164061,3,49591922,49708978,105,6,151188,4.527,2.992e-06,BSN,0.3457039358657067,0.000865400380952381,Yes,0.054520224,No,0.9941528048164733,No,1.0,No
ENSG00000187796,9,139256355,139268133,15,3,151188,4.5192,3.1044e-06,CARD9,0.7161594551544213,0.0008838808874999999,Yes,0.0565683768,No,0.9964257331379759,No,1.0,No
ENSG00000138100,2,27505260,27530307,21,2,151188,4.4967,3.451e-06,TRIM54,0.4509077947979541,0.0009674480307692308,Yes,0.062884122,No,0.9964257331379759,No,1.0,No
ENSG00000103066,16,68279207,68294961,21,3,151188,4.4925,3.519e-06,PLA2G15,0.6428291282192414,0.000971563909090909,Yes,0.064123218,No,0.9964257331379759,No,1.0,No
ENSG00000084774,2,27440258,27466811,56,6,151188,4.4806,3.7221e-06,CAD,0.6633135747140912,0.0010123000925373134,Yes,0.0678241062,No,0.9964257331379759,No,1.0,No
ENSG00000175264,11,45670427,45687172,18,4,151188,4.4772,3.7807e-06,CHST1,0.12212655059487132,0.0010131164029411766,Yes,0.0688919154,No,0.9888759523017299,No,1.0,No
ENSG00000160360,9,139221932,139254057,14,3,151188,4.4612,4.0747e-06,GPSM1,0.3374643732934104,0.0010760751217391306,Yes,0.0742491834,No,0.9941528048164733,No,1.0,No
ENSG00000151726,4,185676749,185747972,45,9,151188,4.4236,4.8534e-06,ACSL1,0.18917184448166047,0.0012634093542857143,Yes,0.0884386548,No,0.9888759523017299,No,1.0,No
ENSG00000121680,11,45931220,45940363,15,4,151188,4.3576,6.5763e-06,PEX16,0.812557416421595,0.0016877935014084507,Yes,0.1198333386,No,0.9968658510550727,No,1.0,No
ENSG00000177045,19,46268043,46272484,3,1,151188,4.337,7.220399999999999e-06,SIX5,0.5024500729664451,0.0018110671068493152,Yes,0.13157012879999996,No,0.9964257331379759,No,1.0,No
ENSG00000145020,3,49454211,49460186,8,2,151188,4.336,7.2554e-06,AMT,0.43085751606231215,0.0018110671068493152,Yes,0.1322078988,No,0.9964257331379759,No,1.0,No
ENSG00000084693,2,27265232,27293490,21,2,151188,4.3325,7.3728e-06,AGBL5,0.04709661594907366,0.0018155021837837839,Yes,0.1343471616,No,0.9888759523017299,No,1.0,No
ENSG00000145022,3,49449639,49453908,5,2,151188,4.2897,8.9451e-06,TCTA,0.4578259117517516,0.002173301496,Yes,0.1629976122,No,0.9964257331379759,No,1.0,No
ENSG00000173402,3,49506146,49573048,75,5,151188,4.2743,9.587e-06,DAG1,0.6750898370314639,0.0022986093947368422,Yes,0.174694314,No,0.9964257331379759,No,1.0,No
ENSG00000138030,2,27309615,27323640,11,1,151188,4.2661,9.9466e-06,KHK,0.8951589404651712,0.002353856431168831,Yes,0.1812469452,No,0.9982388619747915,No,1.0,No
ENSG00000138080,2,27301435,27309271,2,1,151188,4.2292,1.1727e-05,EMILIN1,0.08926764389025832,0.0027396076153846155,Yes,0.213689394,No,0.9888759523017299,No,1.0,No
ENSG00000138074,2,27422455,27435826,24,4,151188,4.2248,1.196e-05,SLC5A6,0.2699789349941286,0.0027586724050632913,Yes,0.21793512,No,0.9888759523017299,No,1.0,No
ENSG00000157851,2,27070615,27173219,98,3,151188,4.2037,1.3130999999999997e-05,DPYSL5,0.9223487263888775,0.002990913524999999,Yes,0.23927308199999994,No,0.9982388619747915,No,1.0,No
ENSG00000149179,11,46958240,47185936,217,12,151188,4.1817,1.4467e-05,C11orf49,0.3135621683155941,0.0032537380975609757,Yes,0.263617674,No,0.9926785503790204,No,1.0,No
ENSG00000148384,9,139323071,139334274,22,3,151188,4.1789999999999985,1.4642e-05,INPP5E,0.9217426168603422,0.0032537380975609757,Yes,0.266806524,No,0.9982388619747915,No,1.0,No
ENSG00000138028,2,27321757,27341995,7,1,151188,4.1755,1.4865e-05,CGREF1,0.1781732997422827,0.0032634943373493976,Yes,0.27087003000000004,No,0.9888759523017299,No,1.0,No
ENSG00000109332,4,103715540,103790053,111,3,151188,4.1722,1.5080999999999997e-05,UBE2D3,0.5645355689848788,0.003271499785714285,Yes,0.27480598199999995,No,0.9964257331379759,No,1.0,No
ENSG00000109323,4,103552660,103682151,197,12,151188,4.1461,1.6910999999999998e-05,MANBA,0.7985262633737445,0.003625320494117647,Yes,0.30815224199999997,No,0.9964257331379759,No,1.0,No
ENSG00000119777,2,27255778,27264563,5,2,151188,4.1227,1.8726e-05,TMEM214,0.16975180207044138,0.003967734558139535,Yes,0.341225172,No,0.9888759523017299,No,1.0,No
ENSG00000058404,7,44256749,44374176,69,10,151188,4.1197,1.8966e-05,CAMK2B,0.2979029495349851,0.003972396,Yes,0.345598452,No,0.9888759523017299,No,1.0,No
ENSG00000172292,2,169312372,169631644,418,29,151188,4.1029,2.0397e-05,CERS6,0.30975779169252426,0.004223569704545455,Yes,0.37167413400000004,No,0.9909351214612555,No,1.0,No
ENSG00000198900,20,39657458,39753127,91,13,151188,4.0736,2.3149e-05,TOP1,0.4524878650658323,0.004739562674157304,Yes,0.421821078,No,0.9964257331379759,No,1.0,No
ENSG00000164647,7,89783689,89794143,17,4,151188,4.0549,2.5074e-05,STEAP1,0.006577519429225576,0.005052445630434783,Yes,0.456898428,No,0.9154484940911994,No,1.0,No
ENSG00000163798,2,27886338,27917840,31,4,151188,4.0524,2.5348e-05,SLC4A1AP,0.3044061135819328,0.005052445630434783,Yes,0.461891256,No,0.9888759523017299,No,1.0,No
ENSG00000149182,11,47185848,47198676,16,4,151188,4.0509,2.5509000000000006e-05,ARFGAP2,0.963622441639666,0.005052445630434783,Yes,0.4648249980000001,No,0.9993243487313184,No,1.0,No
ENSG00000175426,5,95726119,95769847,50,6,151188,4.041,2.6616e-05,PCSK1,0.866345777094624,0.005215018838709677,Yes,0.48499675200000003,No,0.9982388619747915,No,1.0,No
ENSG00000157214,7,89796904,89867451,168,12,151188,4.0244,2.856e-05,STEAP2,0.7412142630173096,0.005536386382978724,Yes,0.52042032,No,0.9964257331379759,No,1.0,No
ENSG00000107262,9,33247818,33264761,16,2,151188,3.993,3.2616e-05,BAG1,0.5439348018815502,0.00625609212631579,Yes,0.594328752,No,0.9964257331379759,No,1.0,No
ENSG00000205106,11,45792983,45793909,3,2,151188,3.9848,3.3764000000000004e-05,CTD-2210P24.4,0.4552015331898567,0.006408829250000001,Yes,0.6152476080000001,No,0.9964257331379759,No,1.0,No
ENSG00000121653,11,45907202,45928016,16,5,151188,3.9435,4.0156e-05,MAPK8IP1,0.7886175989415488,0.0075435322886597935,Yes,0.731722632,No,0.9964257331379759,No,1.0,No
ENSG00000066336,11,47376411,47400127,47,4,151188,3.9402,4.0704e-05,SPI1,0.9507513298952336,0.007568451918367348,Yes,0.741708288,No,0.9986342999312973,No,1.0,No
ENSG00000145354,4,103790135,103810399,25,2,151188,3.9119,4.578e-05,CISD2,0.8902499916093763,0.008357288058823532,Yes,0.8342031599999999,No,0.9982388619747915,No,1.0,No
ENSG00000115163,2,26987157,27023935,50,3,151188,3.9085,4.6428e-05,CENPA,0.8452727204172595,0.008357288058823532,Yes,0.846011016,No,0.9982388619747915,No,1.0,No
ENSG00000165923,11,47681143,47736941,69,6,151188,3.907,4.673e-05,AGBL2,0.7067549832761679,0.008357288058823532,Yes,0.8515140600000001,No,0.9964257331379759,No,1.0,No
ENSG00000188038,16,67918708,67922758,3,1,151188,3.9067,4.678100000000001e-05,NRN1L,0.3161840800351133,0.008357288058823532,Yes,0.8524433820000002,No,0.9926785503790204,No,1.0,No
ENSG00000124783,6,7268539,7347679,61,11,151188,3.9019,4.7728e-05,SSR1,0.7763233166454389,0.008443685592233009,Yes,0.869699616,No,0.9964257331379759,No,1.0,No
ENSG00000165912,11,47199076,47207994,13,3,151188,3.8972,4.866300000000001e-05,PACSIN3,0.7245942068723202,0.008526319096153848,Yes,0.8867371860000002,No,0.9964257331379759,No,1.0,No
ENSG00000100796,14,91923955,91976898,96,5,151188,3.8915,4.9817e-05,SMEK1,0.1262127085085032,0.008645384514285715,Yes,0.907765374,No,0.9888759523017299,No,1.0,No
ENSG00000165689,9,139296377,139305061,30,5,151188,3.8829,5.1612e-05,SDCCAG3,0.4172256614599146,0.008857073055555555,Yes,0.940473864,No,0.9962457217646524,No,1.0,No
ENSG00000223802,19,18979361,19007536,10,3,151188,3.8788,5.2495e-05,CERS1,0.2112692371049124,0.008857073055555555,Yes,0.95656389,No,0.9888759523017299,No,1.0,No
ENSG00000130283,19,18979361,19006905,10,3,151188,3.8788,5.2495e-05,GDF1,0.16976506022461124,0.008857073055555555,Yes,0.95656389,No,0.9888759523017299,No,1.0,No
ENSG00000010310,19,46171502,46186982,11,3,151188,3.859,5.692e-05,GIPR,0.8631719813706552,0.009509564836363638,Yes,1.0,No,0.9982388619747915,No,1.0,No
ENSG00000053254,14,89591215,90085493,598,89,151188,3.8569,5.740600000000001e-05,FOXN3,0.2792455215356219,0.009509564836363638,Yes,1.0,No,0.9888759523017299,No,1.0,No
ENSG00000140943,16,84087368,84150511,107,12,151188,3.8408,6.1323e-05,MBTPS1,0.8735192937936614,0.01006691627027027,Yes,1.0,No,0.9982388619747915,No,1.0,No
ENSG00000086065,9,33264940,33281977,7,1,151188,3.832,6.3548e-05,CHMP5,0.8293038292754957,0.010339032642857142,Yes,1.0,No,0.9982388619747915,No,1.0,No
ENSG00000103067,16,68263014,68272005,3,1,151188,3.8226,6.602600000000001e-05,ESRP2,0.8559753974591819,0.010647130725663718,Yes,1.0,No,0.9982388619747915,No,1.0,No
ENSG00000089053,12,121746048,121837699,127,16,151188,3.8082,6.9979e-05,ANAPC5,0.5986052786132203,0.011112250956521737,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000268434,19,46282695,46289231,7,2,151188,3.8077,7.013e-05,AC011530.4,0.09752984713319224,0.011112250956521737,Yes,1.0,No,0.9888759523017299,No,1.0,No
ENSG00000237452,19,46236509,46267792,30,3,151188,3.8027,7.1564e-05,AC074212.3,0.3892467432667873,0.011241717310344828,Yes,1.0,No,0.9947360706357685,No,1.0,No
ENSG00000106628,7,44154286,44163957,9,3,151188,3.7986,7.2744e-05,POLD2,0.5289112607636964,0.011329411692307691,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000165915,11,47428683,47438047,18,4,151188,3.7818,7.7838e-05,SLC39A13,0.5949932932837013,0.011989004117647058,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000181458,3,100211463,100296288,172,9,151188,3.7804,7.8295e-05,TMEM45A,0.08817397702972096,0.011989004117647058,Yes,1.0,No,0.9888759523017299,No,1.0,No
ENSG00000112787,12,133066137,133161774,125,14,151188,3.7739,8.0342e-05,FBRSL1,0.04017791821290628,0.0121999327,Yes,1.0,No,0.9888759523017299,No,1.0,No
ENSG00000104941,19,46298968,46318577,50,8,151188,3.7453,9.0101e-05,RSPH6A,0.6783672071656877,0.013568763818181817,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000186635,11,72396114,72504644,210,18,151188,3.741,9.1652e-05,ARAP1,0.009681132067845157,0.013689202819672132,Yes,1.0,No,0.9484386480659917,No,1.0,No
ENSG00000109919,11,47638867,47664175,19,5,151188,3.7319,9.5015e-05,MTCH2,0.4692860428503547,0.01407612463414634,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000165684,9,139270029,139293249,56,5,151188,3.7139,0.00010205,SNAPC4,0.624379404523768,0.014996412096774193,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000164756,8,117962512,118188953,196,17,151188,3.7089,0.00010407,SLC30A8,0.6171611730715229,0.01517090832,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000164037,4,103806205,103940896,206,2,151188,3.7045,0.00010591,SLC9B1,0.7408610246785942,0.015316603333333333,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000030066,11,47799639,47870107,93,6,151188,3.6913,0.00011156,NUP160,0.8795497230033666,0.016006663937007875,Yes,1.0,No,0.9982388619747915,No,1.0,No
ENSG00000221968,11,61640991,61659523,23,3,151188,3.6836,0.00011497,FADS3,0.8327054399526805,0.01636705734375,Yes,1.0,No,0.9982388619747915,No,1.0,No
ENSG00000011478,19,46195741,46207247,9,4,151188,3.6803,0.00011647,QPCTL,0.5591786250027481,0.016452064651162793,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000073792,3,185361527,185542844,158,12,151188,3.6767,0.00011811,IGF2BP2,0.3694332837301401,0.016555387846153846,Yes,1.0,No,0.9941528048164733,No,1.0,No
ENSG00000213699,2,26987152,27004099,16,1,151188,3.6664,0.00012297,SLC35F6,0.004955853357777039,0.01710503312977099,Yes,1.0,No,0.9091684984411295,No,1.0,No
ENSG00000105127,19,15464196,15490609,19,2,151188,3.6642,0.00012405,AKAP8,0.5411444450727587,0.017124538636363637,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000132437,7,50526134,50633154,353,18,151188,3.6504,0.0001309,DDC,0.8512608813057241,0.017934284210526317,Yes,1.0,No,0.9982388619747915,No,1.0,No
ENSG00000082641,17,46125691,46138849,11,3,151188,3.6465,0.0001329,NFE2L1,0.4819320093203096,0.01794124622222222,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000167703,17,1472561,1532180,49,16,151188,3.6465,0.00013292,SLC43A2,0.6164132592805439,0.01794124622222222,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000109920,11,47738072,47788995,62,5,151188,3.6417,0.00013544,FNBP4,0.6155749979346135,0.018146968235294117,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000072736,16,68118654,68263162,171,6,151188,3.6362,0.00013833,NFATC3,0.7480309360832595,0.01833998417266187,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000148396,9,139334549,139372141,46,5,151188,3.6338,0.00013964,SEC16A,0.8186246732175975,0.01833998417266187,Yes,1.0,No,0.9971909081737456,No,1.0,No
ENSG00000105792,7,89874488,89940377,110,10,151188,3.6333,0.0001399,C7orf63,0.17823196326048196,0.01833998417266187,Yes,1.0,No,0.9888759523017299,No,1.0,No
ENSG00000185800,19,46286205,46296060,13,3,151188,3.6292,0.00014213,DMWD,0.5551522449068732,0.018499234714285714,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000176406,8,104512976,105268322,1808,19,151188,3.6259,0.00014396,RIMS2,0.9688947311007416,0.018604532765957447,Yes,1.0,No,0.9993473713798848,No,1.0,No
ENSG00000115970,2,43393800,43823185,552,18,151188,3.6224,0.00014594,THADA,0.16182994154433114,0.01872759633802817,Yes,1.0,No,0.9888759523017299,No,1.0,No
ENSG00000115194,2,27476552,27498685,30,4,151188,3.6126,0.00015157,SLC30A3,0.6898439705387269,0.019314045734265733,Yes,1.0,No,0.9964257331379759,No,1.0,No
ENSG00000067560,3,49396578,49450431,68,5,151188,3.5986,0.00015994,RHOA,0.2673889732397112,0.020239074166666662,Yes,1.0,No,0.9888759523017299,No,1.0,No
ENSG00000205220,16,67968405,67970990,3,2,151188,3.5859,0.00016793,PSMB10,0.9374358686308872,0.021103589379310343,Yes,1.0,No,0.9984576169127564,No,1.0,No
