"Ensembl Gene ID","Gene name","Chromosome","Start position","End position","N SNPs","N Param","Z-score","P-value","Bonferroni P-value","Bonferroni significant"
"ENSG00000198900","TOP1","20","39657458","39753127","91","13","4.0736","2.3149e-05","0.421821078","No"
"ENSG00000164647","STEAP1","7","89783689","89794143","17","4","4.0549","2.5074e-05","0.456898428","No"
"ENSG00000163798","SLC4A1AP","2","27886338","27917840","31","4","4.0524","2.5348e-05","0.461891256","No"
"ENSG00000149182","ARFGAP2","11","47185848","47198676","16","4","4.0509","2.5509e-05","0.464824998","No"
"ENSG00000175426","PCSK1","5","95726119","95769847","50","6","4.041","2.6616e-05","0.48499675200000003","No"
"ENSG00000157214","STEAP2","7","89796904","89867451","168","12","4.0244","2.856e-05","0.52042032","No"
"ENSG00000107262","BAG1","9","33247818","33264761","16","2","3.993","3.2616e-05","0.594328752","No"
"ENSG00000205106","CTD-2210P24.4","11","45792983","45793909","3","2","3.9848","3.3764e-05","0.615247608","No"
"ENSG00000121653","MAPK8IP1","11","45907202","45928016","16","5","3.9435","4.0156e-05","0.731722632","No"
"ENSG00000066336","SPI1","11","47376411","47400127","47","4","3.9402","4.0704e-05","0.741708288","No"
"ENSG00000145354","CISD2","4","103790135","103810399","25","2","3.9119","4.578e-05","0.8342031599999999","No"
"ENSG00000115163","CENPA","2","26987157","27023935","50","3","3.9085","4.6428e-05","0.846011016","No"
"ENSG00000165923","AGBL2","11","47681143","47736941","69","6","3.907","4.673e-05","0.8515140600000001","No"
"ENSG00000188038","NRN1L","16","67918708","67922758","3","1","3.9067","4.6781e-05","0.8524433819999999","No"
"ENSG00000124783","SSR1","6","7268539","7347679","61","11","3.9019","4.7728e-05","0.869699616","No"
"ENSG00000165912","PACSIN3","11","47199076","47207994","13","3","3.8972","4.8663e-05","0.886737186","No"
"ENSG00000100796","SMEK1","14","91923955","91976898","96","5","3.8915","4.9817e-05","0.907765374","No"
"ENSG00000165689","SDCCAG3","9","139296377","139305061","30","5","3.8829","5.1612e-05","0.940473864","No"
"ENSG00000223802","CERS1","19","18979361","19007536","10","3","3.8788","5.2495e-05","0.95656389","No"
"ENSG00000130283","GDF1","19","18979361","19006905","10","3","3.8788","5.2495e-05","0.95656389","No"
"ENSG00000165300","SLITRK5","13","88324870","88331871","2","1","0.24435","0.40348","1.0","No"
"ENSG00000179399","GPC5","13","92050929","93519490","2119","113","0.77374","0.21954","1.0","No"
"ENSG00000102554","KLF5","13","73629114","73651676","14","5","1.3007","0.096689","1.0","No"
"ENSG00000183098","GPC6","13","93879095","95059655","1644","108","1.9853","0.023555","1.0","No"
"ENSG00000080166","DCT","13","95089558","95131936","42","8","2.0685","0.019294","1.0","No"
"ENSG00000083535","PIBF1","13","73356197","73590591","281","12","1.4427","0.07455","1.0","No"
"ENSG00000187498","COL4A1","13","110801318","110959496","507","61","1.1523","0.12459","1.0","No"
"ENSG00000083520","DIS3","13","73329540","73356234","25","6","1.3078","0.095468","1.0","No"
"ENSG00000152749","GPR180","13","95254157","95286899","36","5","0.22779","0.4099","1.0","No"
"ENSG00000184564","SLITRK6","13","86366925","86373623","6","2","-0.16854","0.56692","1.0","No"
"ENSG00000136122","BORA","13","73302061","73330336","18","4","1.0487","0.14717","1.0","No"
"ENSG00000125285","SOX21","13","95361886","95364389","2","1","0.81841","0.20656","1.0","No"
"ENSG00000041515","MYO16","13","109248500","109860355","974","107","-0.21735","0.58603","1.0","No"
"ENSG00000204899","MZT1","13","73282495","73301825","11","3","1.6694","0.047519","1.0","No"
"ENSG00000088451","TGDS","13","95226308","95248511","23","3","0.88174","0.18896","1.0","No"
"ENSG00000178235","SLITRK1","13","84451344","84456528","2","1","-0.067258","0.52681","1.0","No"
"ENSG00000102471","NDFIP2","13","80055287","80130210","95","9","-0.063758","0.52542","1.0","No"
"ENSG00000136153","LMO7","13","76194570","76434004","243","32","-0.074467","0.52968","1.0","No"
"ENSG00000118939","UCHL3","13","76123619","76180085","60","6","0.95255","0.17041","1.0","No"
"ENSG00000178734","C13orf45","13","76445187","76457947","52","6","0.56353","0.28654","1.0","No"
"ENSG00000185950","IRS2","13","110406184","110438915","40","8","0.94519","0.17228","1.0","No"
"ENSG00000178695","KCTD12","13","77454312","77460540","4","2","-0.35332","0.63808","1.0","No"
"ENSG00000102794","IRG1","13","77522632","77532777","6","2","2.0666","0.019384","1.0","No"
"ENSG00000188243","COMMD6","13","76099350","76123575","32","7","0.58004","0.28094","1.0","No"
"ENSG00000136111","TBC1D4","13","75858808","76056250","251","44","0.80699","0.20983","1.0","No"
"ENSG00000177596","AL355390.1","13","74987094","74993252","13","4","0.25265","0.40027","1.0","No"
"ENSG00000136158","SPRY2","13","80910111","80915086","5","2","2.0654","0.019445","1.0","No"
"ENSG00000118922","KLF12","13","74260226","74708394","600","80","0.052206","0.47918","1.0","No"
"ENSG00000134871","COL4A2","13","110958159","111165374","449","69","-0.49131","0.6884","1.0","No"
"ENSG00000005810","MYCBP2","13","77618792","77901185","229","16","0.59351","0.27642","1.0","No"
"ENSG00000136155","SCEL","13","78109809","78219398","192","21","0.29868","0.38259","1.0","No"
"ENSG00000139737","SLAIN1","13","78272023","78338377","66","8","1.4966","0.06725","1.0","No"
"ENSG00000136160","EDNRB","13","78469616","78493903","36","6","1.6332","0.051209","1.0","No"
"ENSG00000152192","POU4F1","13","79172497","79177673","2","1","-1.2513","0.89459","1.0","No"
"ENSG00000152193","RNF219","13","79188426","79233314","53","3","-1.414","0.92132","1.0","No"
"ENSG00000139746","RBM26","13","79885962","79980612","195","4","-0.61346","0.73021","1.0","No"
"ENSG00000005812","FBXL3","13","77566740","77601330","57","3","-0.31607","0.62402","1.0","No"
"ENSG00000102805","CLN5","13","77564795","77576652","15","2","-0.030353","0.51211","1.0","No"
"ENSG00000152767","FARP1","13","98794816","99102027","469","79","-0.56638","0.71443","1.0","No"
"ENSG00000134873","CLDN10","13","96085858","96232013","308","15","-0.61382","0.73033","1.0","No"
"ENSG00000125247","TMTC4","13","101256181","101327347","126","8","-0.61674","0.7313","1.0","No"
"ENSG00000174405","LIG4","13","108859787","108870716","9","4","1.3752","0.084539","1.0","No"
"ENSG00000204442","FAM155A","13","107820883","108519083","1017","138","0.19294","0.4235","1.0","No"
"ENSG00000134884","ARGLU1","13","107194021","107220512","5","1","0.61591","0.26898","1.0","No"
"ENSG00000125266","EFNB2","13","107142079","107187462","45","8","-0.32368","0.62691","1.0","No"
"ENSG00000102452","NALCN","13","101706130","102068843","671","56","1.4779","0.069717","1.0","No"
"ENSG00000182346","DAOA","13","106118216","106143383","43","6","0.74748","0.22739","1.0","No"
"ENSG00000125255","SLC10A2","13","103696350","103719196","68","10","-0.19398","0.5769","1.0","No"
"ENSG00000134899","ERCC5","13","103497194","103528345","42","5","-1.6158","0.94694","1.0","No"
"ENSG00000270181","BIVM-ERCC5","13","103459704","103524748","76","9","-1.7795","0.96242","1.0","No"
"ENSG00000165659","DACH1","13","72012098","72441330","267","38","0.33675","0.36815","1.0","No"
"ENSG00000198542","ITGBL1","13","102104966","102375456","348","34","-0.42295","0.66383","1.0","No"
"ENSG00000102466","FGF14","13","102372134","103054124","825","65","-1.1923","0.88342","1.0","No"
"ENSG00000134900","TPP2","13","103249353","103331521","114","7","-0.21957","0.5869","1.0","No"
"ENSG00000139780","METTL21C","13","103338094","103346854","29","12","1.1642","0.12218","1.0","No"
"ENSG00000175820","CCDC168","13","103381801","103389159","7","3","-0.32267","0.62653","1.0","No"
"ENSG00000151287","TEX30","13","103418340","103426161","5","1","-0.057869","0.52307","1.0","No"
"ENSG00000134897","BIVM","13","103451399","103493885","41","6","-1.42","0.9222","1.0","No"
"ENSG00000134901","KDELC1","13","103436631","103451357","10","3","-0.78359","0.78336","1.0","No"
"ENSG00000134864","GGACT","13","101183810","101241782","38","4","-1.5717","0.94199","1.0","No"
"ENSG00000125257","ABCC4","13","95672083","95953687","486","57","-0.67714","0.75084","1.0","No"
"ENSG00000175198","PCCA","13","100741269","101182686","413","23","-0.50366","0.69275","1.0","No"
"ENSG00000139800","ZIC5","13","100615218","100624163","6","3","1.3499","0.08852","1.0","No"
"ENSG00000134874","DZIP1","13","96230457","96296957","50","8","-0.28985","0.61403","1.0","No"
"ENSG00000102580","DNAJC3","13","96329393","96447243","83","11","0.73078","0.23246","1.0","No"
"ENSG00000102595","UGGT2","13","96453834","96705736","304","9","0.9107","0.18123","1.0","No"
"ENSG00000185352","HS6ST3","13","96743093","97485671","1103","42","0.075248","0.47001","1.0","No"
"ENSG00000102524","TNFSF13B","13","108903588","108960832","49","16","0.97279","0.16533","1.0","No"
"ENSG00000165621","OXGR1","13","97637973","97646984","17","4","-0.48425","0.6859","1.0","No"
"ENSG00000139793","MBNL2","13","97873688","98046374","195","19","-1.4235","0.9227","1.0","No"
"ENSG00000125249","RAP2A","13","98086476","98121382","23","3","0.90944","0.18156","1.0","No"
"ENSG00000065150","IPO5","13","98605912","98676551","53","4","0.35264","0.36218","1.0","No"
"ENSG00000139797","RNF113B","13","98828039","98829519","2","1","-0.97789","0.83594","1.0","No"
"ENSG00000139826","ABHD13","13","108870727","108886603","16","5","-0.68218","0.75244","1.0","No"
"ENSG00000102572","STK24","13","99102455","99230194","140","13","-0.74453","0.77172","1.0","No"
"ENSG00000088386","SLC15A1","13","99336055","99404908","92","24","-0.10494","0.54179","1.0","No"
"ENSG00000088387","DOCK9","13","99445741","99738879","483","19","-0.43559","0.66843","1.0","No"
"ENSG00000134882","UBAC2","13","99853028","100038688","206","15","-0.39847","0.65486","1.0","No"
"ENSG00000125245","GPR18","13","99906968","99913998","6","3","1.2798","0.10031","1.0","No"
"ENSG00000169508","GPR183","13","99946784","99959659","14","5","-0.19893","0.57884","1.0","No"
"ENSG00000125304","TM9SF2","13","100153671","100216260","105","12","1.1142","0.13259","1.0","No"
"ENSG00000125246","CLYBL","13","100258919","100549387","408","42","0.11898","0.45265","1.0","No"
"ENSG00000043355","ZIC2","13","100634026","100639018","3","2","-0.69994","0.75802","1.0","No"
"ENSG00000150361","KLHL1","13","70274726","70682591","587","47","-0.34716","0.63576","1.0","No"
"ENSG00000136098","NEK3","13","52706775","52733996","37","3","1.3722","0.084994","1.0","No"
"ENSG00000197991","PCDH20","13","61983818","62002220","25","5","0.21156","0.41623","1.0","No"
"ENSG00000133101","CCNA1","13","37005967","37017019","6","2","-0.55891","0.71189","1.0","No"
"ENSG00000120664","SPG20OS","13","36920568","36943738","33","5","0.49436","0.31053","1.0","No"
"ENSG00000133104","SPG20","13","36875775","36944317","106","5","0.96139","0.16818","1.0","No"
"ENSG00000242715","CCDC169","13","36801182","36871977","296","5","0.75174","0.22611","1.0","No"
"ENSG00000250709","CCDC169-SOHLH2","13","36742931","36871979","389","7","0.61396","0.26962","1.0","No"
"ENSG00000120669","SOHLH2","13","36742345","36871979","390","7","0.60853","0.27142","1.0","No"
"ENSG00000133083","DCLK1","13","36345478","36705443","580","63","2.1287","0.016638","1.0","No"
"ENSG00000180440","SERTM1","13","37248049","37271976","23","5","-0.68728","0.75405","1.0","No"
"ENSG00000180660","MAB21L1","13","36047926","36050832","1","1","-0.20189","0.58","1.0","No"
"ENSG00000133119","RFC3","13","34392186","34540695","277","17","1.8577","0.031604","1.0","No"
"ENSG00000133121","STARD13","13","33677272","33924767","457","41","0.65667","0.2557","1.0","No"
"ENSG00000133116","KL","13","33590207","33640282","114","8","1.4096","0.079328","1.0","No"
"ENSG00000083642","PDS5B","13","33160564","33352157","247","4","0.83053","0.20312","1.0","No"
"ENSG00000244754","N4BP2L2","13","33006554","33112970","69","6","0.24247","0.40421","1.0","No"
"ENSG00000139597","N4BP2L1","13","32974861","33002315","30","6","0.3238","0.37304","1.0","No"
"ENSG00000139618","BRCA2","13","32889611","32973805","132","13","-0.89183","0.81376","1.0","No"
"ENSG00000172915","NBEA","13","35516424","36247159","1051","38","-1.0686","0.85738","1.0","No"
"ENSG00000133111","RFXAP","13","37393361","37403241","4","1","-0.6177","0.73161","1.0","No"
"ENSG00000120693","SMAD9","13","37418968","37494902","87","13","-1.5557","0.94011","1.0","No"
"ENSG00000120697","ALG5","13","37523912","37574398","28","5","-0.10457","0.54164","1.0","No"
"ENSG00000120688","WBP4","13","41635410","41658137","10","4","-0.3542","0.63841","1.0","No"
"ENSG00000120690","ELF1","13","41506056","41635576","131","6","0.73981","0.22971","1.0","No"
"ENSG00000102743","SLC25A15","13","41363548","41384247","43","4","1.3989","0.080926","1.0","No"
"ENSG00000102738","MRPS31","13","41303432","41345309","33","3","1.177","0.1196","1.0","No"
"ENSG00000150907","FOXO1","13","41129804","41240734","156","7","-0.12678","0.55044","1.0","No"
"ENSG00000133103","COG6","13","40229764","40365802","175","9","-0.7912","0.78559","1.0","No"
"ENSG00000183722","LHFP","13","39917029","40177665","387","45","-0.0056535","0.50226","1.0","No"
"ENSG00000188811","NHLRC3","13","39612443","39624246","3","1","-0.25325","0.59996","1.0","No"
"ENSG00000120685","PROSER1","13","39584003","39612252","34","3","-0.74572","0.77208","1.0","No"
"ENSG00000133115","STOML3","13","39540062","39565203","29","5","-1.0959","0.86343","1.0","No"
"ENSG00000150893","FREM2","13","39261266","39460074","268","29","-1.5669","0.94143","1.0","No"
"ENSG00000120686","UFM1","13","38923986","38937140","14","1","0.86466","0.19361","1.0","No"
"ENSG00000133107","TRPC4","13","38210773","38444562","350","37","-0.27832","0.60962","1.0","No"
"ENSG00000133110","POSTN","13","38136720","38172981","45","7","0.46171","0.32215","1.0","No"
"ENSG00000180138","CSNK1A1L","13","37677398","37679803","7","2","-0.3652","0.64252","1.0","No"
"ENSG00000102710","SUPT20H","13","37583449","37633850","28","3","-0.078589","0.53132","1.0","No"
"ENSG00000120699","EXOSC8","13","37572953","37583750","5","1","-0.71432","0.76249","1.0","No"
"ENSG00000189167","ZAR1L","13","32877837","32889481","44","3","-0.57739","0.71816","1.0","No"
"ENSG00000073910","FRY","13","32605437","32870794","385","37","-1.3206","0.90669","1.0","No"
"ENSG00000133105","RXFP2","13","32313674","32377009","142","10","0.078955","0.46853","1.0","No"
"ENSG00000187676","B3GALTL","13","31774073","31906413","161","14","1.2023","0.11462","1.0","No"
"ENSG00000139517","LNX2","13","28120050","28194541","117","11","0.0039339","0.49843","1.0","No"
"ENSG00000122033","MTIF3","13","28009776","28024739","33","4","-0.55513","0.7106","1.0","No"
"ENSG00000122034","GTF3A","13","27998681","28009958","22","4","0.38742","0.34922","1.0","No"
"ENSG00000122035","RASL11A","13","27844464","27847827","1","1","1.6747","0.047","1.0","No"
"ENSG00000122026","RPL21","13","27825446","27830828","6","2","-1.2108","0.88702","1.0","No"
"ENSG00000152484","USP12","13","27640293","27746033","97","14","-0.12629","0.55025","1.0","No"
"ENSG00000132975","GPR12","13","27329341","27334922","5","2","1.0301","0.15148","1.0","No"
"ENSG00000132970","WASF3","13","27131840","27263085","160","14","0.35261","0.36219","1.0","No"
"ENSG00000132964","CDK8","13","26828276","26979375","240","11","1.5619","0.059152","1.0","No"
"ENSG00000127870","RNF6","13","26706253","26796791","177","22","2.1388","0.016227","1.0","No"
"ENSG00000180730","SHISA2","13","26618735","26625169","5","2","-0.14816","0.55889","1.0","No"
"ENSG00000215549","AL138815.1","13","26442061","26455095","10","2","0.61557","0.26909","1.0","No"
"ENSG00000132932","ATP8A2","13","25946209","26599989","960","69","0.021544","0.49141","1.0","No"
"ENSG00000139496","NUPL1","13","25875662","25923938","20","5","-1.3949","0.91848","1.0","No"
"ENSG00000139505","MTMR6","13","25802307","25862147","71","4","-0.75818","0.77583","1.0","No"
"ENSG00000165566","AMER2","13","25735822","25746426","4","1","-0.17552","0.56966","1.0","No"
"ENSG00000151846","PABPC3","13","25670300","25673389","2","1","2.652","0.0040014","1.0","No"
"ENSG00000186184","POLR1D","13","28194903","28241548","66","12","1.0363","0.15003","1.0","No"
"ENSG00000165572","KBTBD6","13","41701705","41706882","2","1","-0.85026","0.80241","1.0","No"
"ENSG00000169840","GSX1","13","28366780","28368905","1","1","-0.95417","0.83","1.0","No"
"ENSG00000180389","ATP5EP2","13","28519343","28519727","2","1","0.15559","0.43818","1.0","No"
"ENSG00000120694","HSPH1","13","31710762","31736525","47","5","1.5732","0.057836","1.0","No"
"ENSG00000175664","TEX26","13","31506840","31549639","60","8","-0.10972","0.54368","1.0","No"
"ENSG00000102802","MEDAG","13","31480328","31499709","14","4","-1.1503","0.87498","1.0","No"
"ENSG00000132965","ALOX5AP","13","31309645","31338556","90","13","0.12896","0.44869","1.0","No"
"ENSG00000132952","USPL1","13","31191830","31233686","29","2","0.91274","0.18069","1.0","No"
"ENSG00000189403","HMGB1","13","31032884","31191734","136","31","-0.55371","0.71011","1.0","No"
"ENSG00000102781","KATNAL1","13","30776767","30881621","93","20","-0.05263","0.52099","1.0","No"
"ENSG00000122042","UBL3","13","30338508","30424821","134","8","-0.63896","0.73857","1.0","No"
"ENSG00000139514","SLC7A1","13","30083547","30169825","129","12","0.3079","0.37908","1.0","No"
"ENSG00000132938","MTUS2","13","29598748","30077892","905","51","-0.49976","0.69138","1.0","No"
"ENSG00000139508","SLC46A3","13","29274201","29293107","14","2","1.7962","0.036233","1.0","No"
"ENSG00000132963","POMP","13","29233241","29253062","28","3","-1.68","0.95352","1.0","No"
"ENSG00000102755","FLT1","13","28874489","29069265","233","31","1.2057","0.11397","1.0","No"
"ENSG00000152520","PAN3","13","28712643","28869475","156","10","0.25896","0.39783","1.0","No"
"ENSG00000122025","FLT3","13","28577411","28674729","144","12","1.5079","0.065785","1.0","No"
"ENSG00000183463","URAD","13","28551851","28562791","5","2","0.36427","0.35783","1.0","No"
"ENSG00000165556","CDX2","13","28536274","28545276","8","2","1.5602","0.059353","1.0","No"
"ENSG00000139515","PDX1","13","28494157","28500368","1","1","2.2571","0.012","1.0","No"
"ENSG00000184226","PCDH9","13","66876967","67804468","1300","77","-0.32738","0.62831","1.0","No"
"ENSG00000120696","KBTBD7","13","41763969","41768702","3","1","-0.17007","0.56752","1.0","No"
